Provincias;Edad (3 grupos de edad);Españoles/Extranjeros;Sexo;Año;Total
03 Alicante/Alacant;0-15 años;Españoles;Mujeres;2020;116.230
03 Alicante/Alacant;0-15 años;Españoles;Mujeres;2019;118.118
03 Alicante/Alacant;0-15 años;Extranjeros;Hombres;2021;25.690
03 Alicante/Alacant;0-15 años;Extranjeros;Hombres;2020;26.167
03 Alicante/Alacant;0-15 años;Extranjeros;Hombres;2019;24.426
03 Alicante/Alacant;0-15 años;Extranjeros;Mujeres;2021;24.468
03 Alicante/Alacant;0-15 años;Extranjeros;Mujeres;2020;24.953
03 Alicante/Alacant;0-15 años;Extranjeros;Mujeres;2019;23.344
03 Alicante/Alacant;16-64 años;Españoles;Hombres;2021;490.091
03 Alicante/Alacant;16-64 años;Españoles;Hombres;2020;488.873
03 Alicante/Alacant;16-64 años;Españoles;Hombres;2019;488.464
03 Alicante/Alacant;16-64 años;Españoles;Mujeres;2021;480.834
03 Alicante/Alacant;16-64 años;Españoles;Mujeres;2020;480.020
03 Alicante/Alacant;16-64 años;Españoles;Mujeres;2019;480.081
03 Alicante/Alacant;16-64 años;Extranjeros;Hombres;2021;123.928
03 Alicante/Alacant;16-64 años;Extranjeros;Hombres;2020;124.773
03 Alicante/Alacant;16-64 años;Extranjeros;Hombres;2019;116.977
03 Alicante/Alacant;16-64 años;Extranjeros;Mujeres;2021;122.417
03 Alicante/Alacant;16-64 años;Extranjeros;Mujeres;2020;121.991
03 Alicante/Alacant;16-64 años;Extranjeros;Mujeres;2019;114.914
03 Alicante/Alacant;65 y más;Españoles;Hombres;2021;132.094
03 Alicante/Alacant;65 y más;Españoles;Hombres;2020;129.671
03 Alicante/Alacant;65 y más;Españoles;Hombres;2019;127.087
03 Alicante/Alacant;65 y más;Españoles;Mujeres;2021;169.543
03 Alicante/Alacant;65 y más;Españoles;Mujeres;2020;166.597
03 Alicante/Alacant;65 y más;Españoles;Mujeres;2019;163.672
03 Alicante/Alacant;65 y más;Extranjeros;Hombres;2021;38.636
03 Alicante/Alacant;65 y más;Extranjeros;Hombres;2020;38.493
03 Alicante/Alacant;65 y más;Extranjeros;Hombres;2019;38.154
03 Alicante/Alacant;65 y más;Extranjeros;Mujeres;2021;38.284
03 Alicante/Alacant;65 y más;Extranjeros;Mujeres;2020;38.241
03 Alicante/Alacant;65 y más;Extranjeros;Mujeres;2019;37.639
04 Almería;0-15 años;Españoles;Hombres;2021;52.239
04 Almería;0-15 años;Españoles;Hombres;2020;52.824
04 Almería;0-15 años;Españoles;Hombres;2019;53.087
04 Almería;0-15 años;Españoles;Mujeres;2021;49.554
04 Almería;0-15 años;Españoles;Mujeres;2020;50.175
04 Almería;0-15 años;Españoles;Mujeres;2019;50.402
04 Almería;0-15 años;Extranjeros;Hombres;2021;14.310
04 Almería;0-15 años;Extranjeros;Hombres;2020;14.105
04 Almería;0-15 años;Extranjeros;Hombres;2019;13.280
04 Almería;0-15 años;Extranjeros;Mujeres;2021;13.471
04 Almería;0-15 años;Extranjeros;Mujeres;2020;13.379
04 Almería;0-15 años;Extranjeros;Mujeres;2019;12.602
04 Almería;16-64 años;Españoles;Hombres;2021;190.108
04 Almería;16-64 años;Españoles;Hombres;2020;189.607
04 Almería;16-64 años;Españoles;Hombres;2019;189.308
04 Almería;16-64 años;Españoles;Mujeres;2021;186.075
04 Almería;16-64 años;Españoles;Mujeres;2020;185.285
04 Almería;16-64 años;Españoles;Mujeres;2019;184.805
04 Almería;16-64 años;Extranjeros;Hombres;2021;66.062
04 Almería;16-64 años;Extranjeros;Hombres;2020;65.918
04 Almería;16-64 años;Extranjeros;Hombres;2019;62.493
04 Almería;16-64 años;Extranjeros;Mujeres;2021;48.660
04 Almería;16-64 años;Extranjeros;Mujeres;2020;47.971
04 Almería;16-64 años;Extranjeros;Mujeres;2019;45.278
04 Almería;65 y más;Españoles;Hombres;2021;43.214
04 Almería;65 y más;Españoles;Hombres;2020;42.233
04 Almería;65 y más;Españoles;Hombres;2019;41.168
04 Almería;65 y más;Españoles;Mujeres;2021;54.245
04 Almería;65 y más;Españoles;Mujeres;2020;53.226
04 Almería;65 y más;Españoles;Mujeres;2019;52.142
04 Almería;65 y más;Extranjeros;Hombres;2021;7.203
04 Almería;65 y más;Extranjeros;Hombres;2020;6.871
04 Almería;65 y más;Extranjeros;Hombres;2019;6.365
04 Almería;65 y más;Extranjeros;Mujeres;2021;6.651
04 Almería;65 y más;Extranjeros;Mujeres;2020;6.351
04 Almería;65 y más;Extranjeros;Mujeres;2019;5.890
01 Araba/Álava;0-15 años;Españoles;Hombres;2021;23.408
01 Araba/Álava;0-15 años;Españoles;Hombres;2020;23.695
01 Araba/Álava;0-15 años;Españoles;Hombres;2019;23.942
01 Araba/Álava;0-15 años;Españoles;Mujeres;2021;21.947
01 Araba/Álava;0-15 años;Españoles;Mujeres;2020;22.182
01 Araba/Álava;0-15 años;Españoles;Mujeres;2019;22.401
01 Araba/Álava;0-15 años;Extranjeros;Hombres;2021;3.069
01 Araba/Álava;0-15 años;Extranjeros;Hombres;2020;3.252
01 Araba/Álava;0-15 años;Extranjeros;Hombres;2019;3.121
01 Araba/Álava;0-15 años;Extranjeros;Mujeres;2021;2.976
01 Araba/Álava;0-15 años;Extranjeros;Mujeres;2020;3.097
01 Araba/Álava;0-15 años;Extranjeros;Mujeres;2019;2.934
01 Araba/Álava;16-64 años;Españoles;Hombres;2021;93.014
01 Araba/Álava;16-64 años;Españoles;Hombres;2020;93.338
01 Araba/Álava;16-64 años;Españoles;Hombres;2019;93.644
01 Araba/Álava;16-64 años;Españoles;Mujeres;2021;92.248
01 Araba/Álava;16-64 años;Españoles;Mujeres;2020;92.747
01 Araba/Álava;16-64 años;Españoles;Mujeres;2019;93.074
01 Araba/Álava;16-64 años;Extranjeros;Hombres;2021;13.012
01 Araba/Álava;16-64 años;Extranjeros;Hombres;2020;12.870
01 Araba/Álava;16-64 años;Extranjeros;Hombres;2019;12.095
01 Araba/Álava;16-64 años;Extranjeros;Mujeres;2021;12.418
01 Araba/Álava;16-64 años;Extranjeros;Mujeres;2020;12.283
01 Araba/Álava;16-64 años;Extranjeros;Mujeres;2019;11.437
01 Araba/Álava;65 y más;Españoles;Hombres;2021;31.393
01 Araba/Álava;65 y más;Españoles;Hombres;2020;31.035
01 Araba/Álava;65 y más;Españoles;Hombres;2019;30.425
01 Araba/Álava;65 y más;Españoles;Mujeres;2021;39.187
01 Araba/Álava;65 y más;Españoles;Mujeres;2020;38.527
01 Araba/Álava;65 y más;Españoles;Mujeres;2019;37.728
01 Araba/Álava;65 y más;Extranjeros;Hombres;2021;356
01 Araba/Álava;65 y más;Extranjeros;Hombres;2020;334
01 Araba/Álava;65 y más;Extranjeros;Hombres;2019;272
01 Araba/Álava;65 y más;Extranjeros;Mujeres;2021;598
01 Araba/Álava;65 y más;Extranjeros;Mujeres;2020;580
01 Araba/Álava;65 y más;Extranjeros;Mujeres;2019;476
33 Asturias;0-15 años;Españoles;Hombres;2021;56.108
33 Asturias;0-15 años;Españoles;Hombres;2020;57.298
33 Asturias;0-15 años;Españoles;Hombres;2019;58.440
33 Asturias;0-15 años;Españoles;Mujeres;2021;52.991
33 Asturias;0-15 años;Españoles;Mujeres;2020;54.177
33 Asturias;0-15 años;Españoles;Mujeres;2019;55.289
33 Asturias;0-15 años;Extranjeros;Hombres;2021;3.079
33 Asturias;0-15 años;Extranjeros;Hombres;2020;3.158
33 Asturias;0-15 años;Extranjeros;Hombres;2019;2.871
33 Asturias;0-15 años;Extranjeros;Mujeres;2021;2.934
33 Asturias;0-15 años;Extranjeros;Mujeres;2020;2.942
33 Asturias;0-15 años;Extranjeros;Mujeres;2019;2.737
33 Asturias;16-64 años;Españoles;Hombres;2021;293.967
33 Asturias;16-64 años;Españoles;Hombres;2020;297.245
33 Asturias;16-64 años;Españoles;Hombres;2019;301.546
33 Asturias;16-64 años;Españoles;Mujeres;2021;296.923
33 Asturias;16-64 años;Españoles;Mujeres;2020;300.516
33 Asturias;16-64 años;Españoles;Mujeres;2019;304.914
33 Asturias;16-64 años;Extranjeros;Hombres;2021;16.886
33 Asturias;16-64 años;Extranjeros;Hombres;2020;16.903
33 Asturias;16-64 años;Extranjeros;Hombres;2019;15.609
33 Asturias;16-64 años;Extranjeros;Mujeres;2021;20.065
33 Asturias;16-64 años;Extranjeros;Mujeres;2020;19.978
33 Asturias;16-64 años;Extranjeros;Mujeres;2019;18.401
33 Asturias;65 y más;Españoles;Hombres;2021;111.584
33 Asturias;65 y más;Españoles;Hombres;2020;110.476
33 Asturias;65 y más;Españoles;Hombres;2019;108.815
33 Asturias;65 y más;Españoles;Mujeres;2021;154.774
33 Asturias;65 y más;Españoles;Mujeres;2020;153.751
33 Asturias;65 y más;Españoles;Mujeres;2019;152.170
33 Asturias;65 y más;Extranjeros;Hombres;2021;1.041
33 Asturias;65 y más;Extranjeros;Hombres;2020;986
33 Asturias;65 y más;Extranjeros;Hombres;2019;856
33 Asturias;65 y más;Extranjeros;Mujeres;2021;1.440
33 Asturias;65 y más;Extranjeros;Mujeres;2020;1.354
33 Asturias;65 y más;Extranjeros;Mujeres;2019;1.152
05 Ávila;0-15 años;Españoles;Hombres;2021;9.279
05 Ávila;0-15 años;Españoles;Hombres;2020;9.370
05 Ávila;0-15 años;Españoles;Hombres;2019;9.387
05 Ávila;0-15 años;Españoles;Mujeres;2021;8.638
05 Ávila;0-15 años;Españoles;Mujeres;2020;8.669
05 Ávila;0-15 años;Españoles;Mujeres;2019;8.753
05 Ávila;0-15 años;Extranjeros;Hombres;2021;1.132
05 Ávila;0-15 años;Extranjeros;Hombres;2020;1.117
05 Ávila;0-15 años;Extranjeros;Hombres;2019;988
05 Ávila;0-15 años;Extranjeros;Mujeres;2021;1.047
05 Ávila;0-15 años;Extranjeros;Mujeres;2020;1.033
05 Ávila;0-15 años;Extranjeros;Mujeres;2019;914
05 Ávila;16-64 años;Españoles;Hombres;2021;46.251
05 Ávila;16-64 años;Españoles;Hombres;2020;45.880
05 Ávila;16-64 años;Españoles;Hombres;2019;46.432
05 Ávila;16-64 años;Españoles;Mujeres;2021;42.923
05 Ávila;16-64 años;Españoles;Mujeres;2020;42.511
05 Ávila;16-64 años;Españoles;Mujeres;2019;42.915
05 Ávila;16-64 años;Extranjeros;Hombres;2021;3.792
05 Ávila;16-64 años;Extranjeros;Hombres;2020;3.807
05 Ávila;16-64 años;Extranjeros;Hombres;2019;3.423
05 Ávila;16-64 años;Extranjeros;Mujeres;2021;4.142
