Provincias;Edad (3 grupos de edad);Españoles/Extranjeros;Sexo;Año;Total
19 Guadalajara;16-64 años;Extranjeros;Hombres;2019;12.995
19 Guadalajara;16-64 años;Extranjeros;Mujeres;2021;13.974
19 Guadalajara;16-64 años;Extranjeros;Mujeres;2020;13.698
19 Guadalajara;16-64 años;Extranjeros;Mujeres;2019;12.739
19 Guadalajara;65 y más;Españoles;Hombres;2021;19.183
19 Guadalajara;65 y más;Españoles;Hombres;2020;19.006
19 Guadalajara;65 y más;Españoles;Hombres;2019;18.616
19 Guadalajara;65 y más;Españoles;Mujeres;2021;22.259
19 Guadalajara;65 y más;Españoles;Mujeres;2020;21.999
19 Guadalajara;65 y más;Españoles;Mujeres;2019;21.681
19 Guadalajara;65 y más;Extranjeros;Hombres;2021;528
19 Guadalajara;65 y más;Extranjeros;Hombres;2020;469
19 Guadalajara;65 y más;Extranjeros;Hombres;2019;419
19 Guadalajara;65 y más;Extranjeros;Mujeres;2021;827
19 Guadalajara;65 y más;Extranjeros;Mujeres;2020;766
19 Guadalajara;65 y más;Extranjeros;Mujeres;2019;653
21 Huelva;0-15 años;Españoles;Hombres;2021;40.100
21 Huelva;0-15 años;Españoles;Hombres;2020;40.738
21 Huelva;0-15 años;Españoles;Hombres;2019;41.364
21 Huelva;0-15 años;Españoles;Mujeres;2021;37.778
21 Huelva;0-15 años;Españoles;Mujeres;2020;38.263
21 Huelva;0-15 años;Españoles;Mujeres;2019;38.791
21 Huelva;0-15 años;Extranjeros;Hombres;2021;3.376
21 Huelva;0-15 años;Extranjeros;Hombres;2020;3.348
21 Huelva;0-15 años;Extranjeros;Hombres;2019;3.145
21 Huelva;0-15 años;Extranjeros;Mujeres;2021;3.036
21 Huelva;0-15 años;Extranjeros;Mujeres;2020;3.061
21 Huelva;0-15 años;Extranjeros;Mujeres;2019;2.876
21 Huelva;16-64 años;Españoles;Hombres;2021;157.874
21 Huelva;16-64 años;Españoles;Hombres;2020;157.764
21 Huelva;16-64 años;Españoles;Hombres;2019;158.091
21 Huelva;16-64 años;Españoles;Mujeres;2021;153.436
21 Huelva;16-64 años;Españoles;Mujeres;2020;153.541
21 Huelva;16-64 años;Españoles;Mujeres;2019;153.620
21 Huelva;16-64 años;Extranjeros;Hombres;2021;19.197
21 Huelva;16-64 años;Extranjeros;Hombres;2020;18.557
21 Huelva;16-64 años;Extranjeros;Hombres;2019;17.489
21 Huelva;16-64 años;Extranjeros;Mujeres;2021;20.809
21 Huelva;16-64 años;Extranjeros;Mujeres;2020;20.653
21 Huelva;16-64 años;Extranjeros;Mujeres;2019;19.664
21 Huelva;65 y más;Españoles;Hombres;2021;39.046
21 Huelva;65 y más;Españoles;Hombres;2020;38.161
21 Huelva;65 y más;Españoles;Hombres;2019;37.463
21 Huelva;65 y más;Españoles;Mujeres;2021;49.297
21 Huelva;65 y más;Españoles;Mujeres;2020;48.431
21 Huelva;65 y más;Españoles;Mujeres;2019;47.703
21 Huelva;65 y más;Extranjeros;Hombres;2021;988
21 Huelva;65 y más;Extranjeros;Hombres;2020;928
21 Huelva;65 y más;Extranjeros;Hombres;2019;861
21 Huelva;65 y más;Extranjeros;Mujeres;2021;898
21 Huelva;65 y más;Extranjeros;Mujeres;2020;833
21 Huelva;65 y más;Extranjeros;Mujeres;2019;803
22 Huesca;0-15 años;Españoles;Hombres;2021;13.906
22 Huesca;0-15 años;Españoles;Hombres;2020;14.036
22 Huesca;0-15 años;Españoles;Hombres;2019;14.118
22 Huesca;0-15 años;Españoles;Mujeres;2021;13.365
22 Huesca;0-15 años;Españoles;Mujeres;2020;13.550
22 Huesca;0-15 años;Españoles;Mujeres;2019;13.659
22 Huesca;0-15 años;Extranjeros;Hombres;2021;2.527
22 Huesca;0-15 años;Extranjeros;Hombres;2020;2.475
22 Huesca;0-15 años;Extranjeros;Hombres;2019;2.214
22 Huesca;0-15 años;Extranjeros;Mujeres;2021;2.187
22 Huesca;0-15 años;Extranjeros;Mujeres;2020;2.111
22 Huesca;0-15 años;Extranjeros;Mujeres;2019;1.947
22 Huesca;16-64 años;Españoles;Hombres;2021;61.843
22 Huesca;16-64 años;Españoles;Hombres;2020;61.476
22 Huesca;16-64 años;Españoles;Hombres;2019;61.867
22 Huesca;16-64 años;Españoles;Mujeres;2021;56.913
22 Huesca;16-64 años;Españoles;Mujeres;2020;56.638
22 Huesca;16-64 años;Españoles;Mujeres;2019;56.932
22 Huesca;16-64 años;Extranjeros;Hombres;2021;12.502
22 Huesca;16-64 años;Extranjeros;Hombres;2020;11.895
22 Huesca;16-64 años;Extranjeros;Hombres;2019;10.611
22 Huesca;16-64 años;Extranjeros;Mujeres;2021;10.725
22 Huesca;16-64 años;Extranjeros;Mujeres;2020;10.550
22 Huesca;16-64 años;Extranjeros;Mujeres;2019;9.615
22 Huesca;65 y más;Españoles;Hombres;2021;22.436
22 Huesca;65 y más;Españoles;Hombres;2020;22.248
22 Huesca;65 y más;Españoles;Hombres;2019;22.098
22 Huesca;65 y más;Españoles;Mujeres;2021;26.977
22 Huesca;65 y más;Españoles;Mujeres;2020;26.914
22 Huesca;65 y más;Españoles;Mujeres;2019;26.711
22 Huesca;65 y más;Extranjeros;Hombres;2021;393
22 Huesca;65 y más;Extranjeros;Hombres;2020;349
22 Huesca;65 y más;Extranjeros;Hombres;2019;320
22 Huesca;65 y más;Extranjeros;Mujeres;2021;490
22 Huesca;65 y más;Extranjeros;Mujeres;2020;445
22 Huesca;65 y más;Extranjeros;Mujeres;2019;369
23 Jaén;0-15 años;Españoles;Hombres;2021;45.957
23 Jaén;0-15 años;Españoles;Hombres;2020;46.775
23 Jaén;0-15 años;Españoles;Hombres;2019;48.148
23 Jaén;0-15 años;Españoles;Mujeres;2021;43.570
23 Jaén;0-15 años;Españoles;Mujeres;2020;44.371
23 Jaén;0-15 años;Españoles;Mujeres;2019;45.724
23 Jaén;0-15 años;Extranjeros;Hombres;2021;1.246
23 Jaén;0-15 años;Extranjeros;Hombres;2020;1.187
23 Jaén;0-15 años;Extranjeros;Hombres;2019;1.105
23 Jaén;0-15 años;Extranjeros;Mujeres;2021;1.144
23 Jaén;0-15 años;Extranjeros;Mujeres;2020;1.109
23 Jaén;0-15 años;Extranjeros;Mujeres;2019;1.080
23 Jaén;16-64 años;Españoles;Hombres;2021;202.720
23 Jaén;16-64 años;Españoles;Hombres;2020;203.969
23 Jaén;16-64 años;Españoles;Hombres;2019;205.221
23 Jaén;16-64 años;Españoles;Mujeres;2021;195.671
23 Jaén;16-64 años;Españoles;Mujeres;2020;196.708
23 Jaén;16-64 años;Españoles;Mujeres;2019;198.108
23 Jaén;16-64 años;Extranjeros;Hombres;2021;7.305
23 Jaén;16-64 años;Extranjeros;Hombres;2020;7.188
23 Jaén;16-64 años;Extranjeros;Hombres;2019;6.811
23 Jaén;16-64 años;Extranjeros;Mujeres;2021;6.362
23 Jaén;16-64 años;Extranjeros;Mujeres;2020;6.178
23 Jaén;16-64 años;Extranjeros;Mujeres;2019;5.695
23 Jaén;65 y más;Españoles;Hombres;2021;52.681
23 Jaén;65 y más;Españoles;Hombres;2020;52.876
23 Jaén;65 y más;Españoles;Hombres;2019;51.736
23 Jaén;65 y más;Españoles;Mujeres;2021;69.691
23 Jaén;65 y más;Españoles;Mujeres;2020;70.269
23 Jaén;65 y más;Españoles;Mujeres;2019;69.255
23 Jaén;65 y más;Extranjeros;Hombres;2021;414
23 Jaén;65 y más;Extranjeros;Hombres;2020;369
23 Jaén;65 y más;Extranjeros;Hombres;2019;335
23 Jaén;65 y más;Extranjeros;Mujeres;2021;429
23 Jaén;65 y más;Extranjeros;Mujeres;2020;382
23 Jaén;65 y más;Extranjeros;Mujeres;2019;346
24 León;0-15 años;Españoles;Hombres;2021;24.361
24 León;0-15 años;Españoles;Hombres;2020;24.920
24 León;0-15 años;Españoles;Hombres;2019;25.452
24 León;0-15 años;Españoles;Mujeres;2021;23.011
24 León;0-15 años;Españoles;Mujeres;2020;23.546
24 León;0-15 años;Españoles;Mujeres;2019;24.195
24 León;0-15 años;Extranjeros;Hombres;2021;1.472
24 León;0-15 años;Extranjeros;Hombres;2020;1.540
24 León;0-15 años;Extranjeros;Hombres;2019;1.426
24 León;0-15 años;Extranjeros;Mujeres;2021;1.350
24 León;0-15 años;Extranjeros;Mujeres;2020;1.388
24 León;0-15 años;Extranjeros;Mujeres;2019;1.310
24 León;16-64 años;Españoles;Hombres;2021;131.790
24 León;16-64 años;Españoles;Hombres;2020;133.505
24 León;16-64 años;Españoles;Hombres;2019;135.742
24 León;16-64 años;Españoles;Mujeres;2021;128.735
24 León;16-64 años;Españoles;Mujeres;2020;130.098
24 León;16-64 años;Españoles;Mujeres;2019;132.010
24 León;16-64 años;Extranjeros;Hombres;2021;7.783
24 León;16-64 años;Extranjeros;Hombres;2020;7.831
24 León;16-64 años;Extranjeros;Hombres;2019;7.469
24 León;16-64 años;Extranjeros;Mujeres;2021;8.479
24 León;16-64 años;Extranjeros;Mujeres;2020;8.503
24 León;16-64 años;Extranjeros;Mujeres;2019;8.010
24 León;65 y más;Españoles;Hombres;2021;53.623
24 León;65 y más;Españoles;Hombres;2020;53.632
24 León;65 y más;Españoles;Hombres;2019;53.261
24 León;65 y más;Españoles;Mujeres;2021;69.955
24 León;65 y más;Españoles;Mujeres;2020;70.393
24 León;65 y más;Españoles;Mujeres;2019;70.232
24 León;65 y más;Extranjeros;Hombres;2021;503
24 León;65 y más;Extranjeros;Hombres;2020;476
24 León;65 y más;Extranjeros;Hombres;2019;394
24 León;65 y más;Extranjeros;Mujeres;2021;644
24 León;65 y más;Extranjeros;Mujeres;2020;607
24 León;65 y más;Extranjeros;Mujeres;2019;500
25 Lleida;0-15 años;Españoles;Hombres;2021;28.030
25 Lleida;0-15 años;Españoles;Hombres;2020;28.437
25 Lleida;0-15 años;Españoles;Hombres;2019;28.783
25 Lleida;0-15 años;Españoles;Mujeres;2021;26.824
25 Lleida;0-15 años;Españoles;Mujeres;2020;27.246
25 Lleida;0-15 años;Españoles;Mujeres;2019;27.569
25 Lleida;0-15 años;Extranjeros;Hombres;2021;7.536
25 Lleida;0-15 años;Extranjeros;Hombres;2020;7.428
25 Lleida;0-15 años;Extranjeros;Hombres;2019;7.067
25 Lleida;0-15 años;Extranjeros;Mujeres;2021;6.948
25 Lleida;0-15 años;Extranjeros;Mujeres;2020;6.810
25 Lleida;0-15 años;Extranjeros;Mujeres;2019;6.464
25 Lleida;16-64 años;Españoles;Hombres;2021;112.903
25 Lleida;16-64 años;Españoles;Hombres;2020;112.990
25 Lleida;16-64 años;Españoles;Hombres;2019;113.309
25 Lleida;16-64 años;Españoles;Mujeres;2021;106.731
25 Lleida;16-64 años;Españoles;Mujeres;2020;106.669
25 Lleida;16-64 años;Españoles;Mujeres;2019;107.028
25 Lleida;16-64 años;Extranjeros;Hombres;2021;37.523
25 Lleida;16-64 años;Extranjeros;Hombres;2020;36.665
25 Lleida;16-64 años;Extranjeros;Hombres;2019;34.510
25 Lleida;16-64 años;Extranjeros;Mujeres;2021;27.396
25 Lleida;16-64 años;Extranjeros;Mujeres;2020;27.110
25 Lleida;16-64 años;Extranjeros;Mujeres;2019;26.048
25 Lleida;65 y más;Españoles;Hombres;2021;37.246
25 Lleida;65 y más;Españoles;Hombres;2020;36.992
25 Lleida;65 y más;Españoles;Hombres;2019;36.525
25 Lleida;65 y más;Españoles;Mujeres;2021;46.601
25 Lleida;65 y más;Españoles;Mujeres;2020;46.350
25 Lleida;65 y más;Españoles;Mujeres;2019;46.074
25 Lleida;65 y más;Extranjeros;Hombres;2021;918
25 Lleida;65 y más;Extranjeros;Hombres;2020;811
25 Lleida;65 y más;Extranjeros;Hombres;2019;684
25 Lleida;65 y más;Extranjeros;Mujeres;2021;1.071
25 Lleida;65 y más;Extranjeros;Mujeres;2020;1.009
25 Lleida;65 y más;Extranjeros;Mujeres;2019;869
27 Lugo;0-15 años;Españoles;Hombres;2021;16.550
27 Lugo;0-15 años;Españoles;Hombres;2020;16.811
27 Lugo;0-15 años;Españoles;Hombres;2019;17.022
27 Lugo;0-15 años;Españoles;Mujeres;2021;15.987
27 Lugo;0-15 años;Españoles;Mujeres;2020;16.158
27 Lugo;0-15 años;Españoles;Mujeres;2019;16.504
27 Lugo;0-15 años;Extranjeros;Hombres;2021;1.188
27 Lugo;0-15 años;Extranjeros;Hombres;2020;1.188
27 Lugo;0-15 años;Extranjeros;Hombres;2019;1.046
27 Lugo;0-15 años;Extranjeros;Mujeres;2021;1.187
27 Lugo;0-15 años;Extranjeros;Mujeres;2020;1.183
27 Lugo;0-15 años;Extranjeros;Mujeres;2019;1.095
27 Lugo;16-64 años;Españoles;Hombres;2021;90.821
27 Lugo;16-64 años;Españoles;Hombres;2020;91.988
27 Lugo;16-64 años;Españoles;Hombres;2019;93.522
27 Lugo;16-64 años;Españoles;Mujeres;2021;90.412
27 Lugo;16-64 años;Españoles;Mujeres;2020;91.331
27 Lugo;16-64 años;Españoles;Mujeres;2019;92.561
27 Lugo;16-64 años;Extranjeros;Hombres;2021;6.740
27 Lugo;16-64 años;Extranjeros;Hombres;2020;6.600
27 Lugo;16-64 años;Extranjeros;Hombres;2019;6.073
27 Lugo;16-64 años;Extranjeros;Mujeres;2021;6.629
27 Lugo;16-64 años;Extranjeros;Mujeres;2020;6.468
27 Lugo;16-64 años;Extranjeros;Mujeres;2019;5.760
27 Lugo;65 y más;Españoles;Hombres;2021;42.259
27 Lugo;65 y más;Españoles;Hombres;2020;41.937
27 Lugo;65 y más;Españoles;Hombres;2019;41.749
27 Lugo;65 y más;Españoles;Mujeres;2021;53.471
27 Lugo;65 y más;Españoles;Mujeres;2020;53.568
27 Lugo;65 y más;Españoles;Mujeres;2019;53.645
27 Lugo;65 y más;Extranjeros;Hombres;2021;334
27 Lugo;65 y más;Extranjeros;Hombres;2020;318
27 Lugo;65 y más;Extranjeros;Hombres;2019;274
27 Lugo;65 y más;Extranjeros;Mujeres;2021;435
27 Lugo;65 y más;Extranjeros;Mujeres;2020;396
27 Lugo;65 y más;Extranjeros;Mujeres;2019;336
28 Madrid;0-15 años;Españoles;Hombres;2021;474.314
28 Madrid;0-15 años;Españoles;Hombres;2020;486.075
28 Madrid;0-15 años;Españoles;Hombres;2019;490.790
28 Madrid;0-15 años;Españoles;Mujeres;2021;450.470
28 Madrid;0-15 años;Españoles;Mujeres;2020;460.860
28 Madrid;0-15 años;Españoles;Mujeres;2019;465.776
28 Madrid;0-15 años;Extranjeros;Hombres;2021;69.960
28 Madrid;0-15 años;Extranjeros;Hombres;2020;70.360
28 Madrid;0-15 años;Extranjeros;Hombres;2019;66.003
28 Madrid;0-15 años;Extranjeros;Mujeres;2021;66.546
28 Madrid;0-15 años;Extranjeros;Mujeres;2020;66.970
28 Madrid;0-15 años;Extranjeros;Mujeres;2019;62.715
28 Madrid;16-64 años;Españoles;Hombres;2021;1.816.835
28 Madrid;16-64 años;Españoles;Hombres;2020;1.819.532
28 Madrid;16-64 años;Españoles;Hombres;2019;1.802.900
28 Madrid;16-64 años;Españoles;Mujeres;2021;1.882.170
28 Madrid;16-64 años;Españoles;Mujeres;2020;1.887.871
28 Madrid;16-64 años;Españoles;Mujeres;2019;1.874.951
28 Madrid;16-64 años;Extranjeros;Hombres;2021;365.625
28 Madrid;16-64 años;Extranjeros;Hombres;2020;365.376
28 Madrid;16-64 años;Extranjeros;Hombres;2019;337.049
28 Madrid;16-64 años;Extranjeros;Mujeres;2021;412.235
28 Madrid;16-64 años;Extranjeros;Mujeres;2020;414.106
28 Madrid;16-64 años;Extranjeros;Mujeres;2019;382.171
28 Madrid;65 y más;Españoles;Hombres;2021;487.169
28 Madrid;65 y más;Españoles;Hombres;2020;487.396
28 Madrid;65 y más;Españoles;Hombres;2019;477.538
28 Madrid;65 y más;Españoles;Mujeres;2021;685.171
28 Madrid;65 y más;Españoles;Mujeres;2020;682.440
28 Madrid;65 y más;Españoles;Mujeres;2019;669.620
28 Madrid;65 y más;Extranjeros;Hombres;2021;15.797
28 Madrid;65 y más;Extranjeros;Hombres;2020;15.054
28 Madrid;65 y más;Extranjeros;Hombres;2019;13.032
28 Madrid;65 y más;Extranjeros;Mujeres;2021;24.959
28 Madrid;65 y más;Extranjeros;Mujeres;2020;23.848
28 Madrid;65 y más;Extranjeros;Mujeres;2019;20.849
29 Málaga;0-15 años;Españoles;Hombres;2021;123.113
29 Málaga;0-15 años;Españoles;Hombres;2020;125.153
29 Málaga;0-15 años;Españoles;Hombres;2019;126.511
29 Málaga;0-15 años;Españoles;Mujeres;2021;116.610
29 Málaga;0-15 años;Españoles;Mujeres;2020;118.457
29 Málaga;0-15 años;Españoles;Mujeres;2019;120.099
29 Málaga;0-15 años;Extranjeros;Hombres;2021;17.393
29 Málaga;0-15 años;Extranjeros;Hombres;2020;17.817
29 Málaga;0-15 años;Extranjeros;Hombres;2019;16.675
29 Málaga;0-15 años;Extranjeros;Mujeres;2021;16.519
29 Málaga;0-15 años;Extranjeros;Mujeres;2020;16.807
29 Málaga;0-15 años;Extranjeros;Mujeres;2019;15.696
29 Málaga;16-64 años;Españoles;Hombres;2021;463.676
29 Málaga;16-64 años;Españoles;Hombres;2020;461.337
29 Málaga;16-64 años;Españoles;Hombres;2019;459.456
29 Málaga;16-64 años;Españoles;Mujeres;2021;466.559
29 Málaga;16-64 años;Españoles;Mujeres;2020;464.026
29 Málaga;16-64 años;Españoles;Mujeres;2019;461.876
29 Málaga;16-64 años;Extranjeros;Hombres;2021;90.555
29 Málaga;16-64 años;Extranjeros;Hombres;2020;89.334
29 Málaga;16-64 años;Extranjeros;Hombres;2019;83.671
29 Málaga;16-64 años;Extranjeros;Mujeres;2021;99.045
29 Málaga;16-64 años;Extranjeros;Mujeres;2020;98.001
29 Málaga;16-64 años;Extranjeros;Mujeres;2019;91.250
29 Málaga;65 y más;Españoles;Hombres;2021;110.561
29 Málaga;65 y más;Españoles;Hombres;2020;107.671
29 Málaga;65 y más;Españoles;Hombres;2019;104.967
29 Málaga;65 y más;Españoles;Mujeres;2021;142.131
29 Málaga;65 y más;Españoles;Mujeres;2020;139.070
29 Málaga;65 y más;Españoles;Mujeres;2019;135.723
29 Málaga;65 y más;Extranjeros;Hombres;2021;24.678
29 Málaga;65 y más;Extranjeros;Hombres;2020;24.138
29 Málaga;65 y más;Extranjeros;Hombres;2019;23.069
29 Málaga;65 y más;Extranjeros;Mujeres;2021;24.811
29 Málaga;65 y más;Extranjeros;Mujeres;2020;24.109
29 Málaga;65 y más;Extranjeros;Mujeres;2019;22.792
30 Murcia;0-15 años;Españoles;Hombres;2021;118.916
30 Murcia;0-15 años;Españoles;Hombres;2020;119.696
30 Murcia;0-15 años;Españoles;Hombres;2019;120.792
30 Murcia;0-15 años;Españoles;Mujeres;2021;112.152
30 Murcia;0-15 años;Españoles;Mujeres;2020;113.104
30 Murcia;0-15 años;Españoles;Mujeres;2019;113.863
30 Murcia;0-15 años;Extranjeros;Hombres;2021;20.462
30 Murcia;0-15 años;Extranjeros;Hombres;2020;21.183
30 Murcia;0-15 años;Extranjeros;Hombres;2019;20.754
30 Murcia;0-15 años;Extranjeros;Mujeres;2021;19.106
30 Murcia;0-15 años;Extranjeros;Mujeres;2020;19.789
30 Murcia;0-15 años;Extranjeros;Mujeres;2019;19.343
30 Murcia;16-64 años;Españoles;Hombres;2021;422.552
30 Murcia;16-64 años;Españoles;Hombres;2020;419.811
30 Murcia;16-64 años;Españoles;Hombres;2019;417.277
30 Murcia;16-64 años;Españoles;Mujeres;2021;416.001
30 Murcia;16-64 años;Españoles;Mujeres;2020;413.394
30 Murcia;16-64 años;Españoles;Mujeres;2019;411.070
30 Murcia;16-64 años;Extranjeros;Hombres;2021;91.635
30 Murcia;16-64 años;Extranjeros;Hombres;2020;91.323
30 Murcia;16-64 años;Extranjeros;Hombres;2019;86.403
30 Murcia;16-64 años;Extranjeros;Mujeres;2021;75.351
30 Murcia;16-64 años;Extranjeros;Mujeres;2020;74.984
30 Murcia;16-64 años;Extranjeros;Mujeres;2019;70.993
30 Murcia;65 y más;Españoles;Hombres;2021;98.785
30 Murcia;65 y más;Españoles;Hombres;2020;97.138
30 Murcia;65 y más;Españoles;Hombres;2019;95.419
30 Murcia;65 y más;Españoles;Mujeres;2021;127.756
30 Murcia;65 y más;Españoles;Mujeres;2020;125.891
30 Murcia;65 y más;Españoles;Mujeres;2019;124.238
30 Murcia;65 y más;Extranjeros;Hombres;2021;8.012
30 Murcia;65 y más;Extranjeros;Hombres;2020;7.548
30 Murcia;65 y más;Extranjeros;Hombres;2019;6.970
30 Murcia;65 y más;Extranjeros;Mujeres;2021;7.758
30 Murcia;65 y más;Extranjeros;Mujeres;2020;7.390
30 Murcia;65 y más;Extranjeros;Mujeres;2019;6.776
31 Navarra;0-15 años;Españoles;Hombres;2021;48.073
31 Navarra;0-15 años;Españoles;Hombres;2020;49.000
31 Navarra;0-15 años;Españoles;Hombres;2019;49.598
31 Navarra;0-15 años;Españoles;Mujeres;2021;45.784
31 Navarra;0-15 años;Españoles;Mujeres;2020;46.557
31 Navarra;0-15 años;Españoles;Mujeres;2019;47.212
31 Navarra;0-15 años;Extranjeros;Hombres;2021;6.609
31 Navarra;0-15 años;Extranjeros;Hombres;2020;6.530
31 Navarra;0-15 años;Extranjeros;Hombres;2019;5.860
31 Navarra;0-15 años;Extranjeros;Mujeres;2021;6.326
31 Navarra;0-15 años;Extranjeros;Mujeres;2020;6.175
31 Navarra;0-15 años;Extranjeros;Mujeres;2019;5.596
31 Navarra;16-64 años;Españoles;Hombres;2021;185.854
31 Navarra;16-64 años;Españoles;Hombres;2020;185.754
31 Navarra;16-64 años;Españoles;Hombres;2019;185.837
31 Navarra;16-64 años;Españoles;Mujeres;2021;180.944
31 Navarra;16-64 años;Españoles;Mujeres;2020;180.976
31 Navarra;16-64 años;Españoles;Mujeres;2019;181.003
31 Navarra;16-64 años;Extranjeros;Hombres;2021;28.431
31 Navarra;16-64 años;Extranjeros;Hombres;2020;28.174
31 Navarra;16-64 años;Extranjeros;Hombres;2019;25.721
31 Navarra;16-64 años;Extranjeros;Mujeres;2021;27.575
31 Navarra;16-64 años;Extranjeros;Mujeres;2020;27.384
31 Navarra;16-64 años;Extranjeros;Mujeres;2019;24.996
31 Navarra;65 y más;Españoles;Hombres;2021;57.493
31 Navarra;65 y más;Españoles;Hombres;2020;56.823
31 Navarra;65 y más;Españoles;Hombres;2019;55.790
31 Navarra;65 y más;Españoles;Mujeres;2021;71.948
31 Navarra;65 y más;Españoles;Mujeres;2020;71.421
31 Navarra;65 y más;Españoles;Mujeres;2019;70.555
31 Navarra;65 y más;Extranjeros;Hombres;2021;1.005
31 Navarra;65 y más;Extranjeros;Hombres;2020;945
31 Navarra;65 y más;Extranjeros;Hombres;2019;825
31 Navarra;65 y más;Extranjeros;Mujeres;2021;1.495
31 Navarra;65 y más;Extranjeros;Mujeres;2020;1.458
31 Navarra;65 y más;Extranjeros;Mujeres;2019;1.221
32 Ourense;0-15 años;Españoles;Hombres;2021;15.483
32 Ourense;0-15 años;Españoles;Hombres;2020;15.616
32 Ourense;0-15 años;Españoles;Hombres;2019;15.912
32 Ourense;0-15 años;Españoles;Mujeres;2021;14.520
32 Ourense;0-15 años;Españoles;Mujeres;2020;14.728
32 Ourense;0-15 años;Españoles;Mujeres;2019;15.031
32 Ourense;0-15 años;Extranjeros;Hombres;2021;893
32 Ourense;0-15 años;Extranjeros;Hombres;2020;915
32 Ourense;0-15 años;Extranjeros;Hombres;2019;808
32 Ourense;0-15 años;Extranjeros;Mujeres;2021;909
32 Ourense;0-15 años;Extranjeros;Mujeres;2020;926
32 Ourense;0-15 años;Extranjeros;Mujeres;2019;806
32 Ourense;16-64 años;Españoles;Hombres;2021;82.085
32 Ourense;16-64 años;Españoles;Hombres;2020;82.742
32 Ourense;16-64 años;Españoles;Hombres;2019;83.723
32 Ourense;16-64 años;Españoles;Mujeres;2021;82.030
32 Ourense;16-64 años;Españoles;Mujeres;2020;82.578
32 Ourense;16-64 años;Españoles;Mujeres;2019;83.439
32 Ourense;16-64 años;Extranjeros;Hombres;2021;6.056
32 Ourense;16-64 años;Extranjeros;Hombres;2020;5.899
32 Ourense;16-64 años;Extranjeros;Hombres;2019;5.431
32 Ourense;16-64 años;Extranjeros;Mujeres;2021;6.780
32 Ourense;16-64 años;Extranjeros;Mujeres;2020;6.565
32 Ourense;16-64 años;Extranjeros;Mujeres;2019;5.957
32 Ourense;65 y más;Españoles;Hombres;2021;41.321
32 Ourense;65 y más;Españoles;Hombres;2020;41.292
32 Ourense;65 y más;Españoles;Hombres;2019;41.100
32 Ourense;65 y más;Españoles;Mujeres;2021;53.727
32 Ourense;65 y más;Españoles;Mujeres;2020;54.061
32 Ourense;65 y más;Españoles;Mujeres;2019;54.275
32 Ourense;65 y más;Extranjeros;Hombres;2021;657
32 Ourense;65 y más;Extranjeros;Hombres;2020;614
32 Ourense;65 y más;Extranjeros;Hombres;2019;548
32 Ourense;65 y más;Extranjeros;Mujeres;2021;762
32 Ourense;65 y más;Extranjeros;Mujeres;2020;714
32 Ourense;65 y más;Extranjeros;Mujeres;2019;621
34 Palencia;0-15 años;Españoles;Hombres;2021;9.054
34 Palencia;0-15 años;Españoles;Hombres;2020;9.190
34 Palencia;0-15 años;Españoles;Hombres;2019;9.313
34 Palencia;0-15 años;Españoles;Mujeres;2021;8.565
34 Palencia;0-15 años;Españoles;Mujeres;2020;8.691
34 Palencia;0-15 años;Españoles;Mujeres;2019;8.824
34 Palencia;0-15 años;Extranjeros;Hombres;2021;684
34 Palencia;0-15 años;Extranjeros;Hombres;2020;668
34 Palencia;0-15 años;Extranjeros;Hombres;2019;637
34 Palencia;0-15 años;Extranjeros;Mujeres;2021;582
34 Palencia;0-15 años;Extranjeros;Mujeres;2020;576
34 Palencia;0-15 años;Extranjeros;Mujeres;2019;544
34 Palencia;16-64 años;Españoles;Hombres;2021;47.648
34 Palencia;16-64 años;Españoles;Hombres;2020;48.424
34 Palencia;16-64 años;Españoles;Hombres;2019;49.271
34 Palencia;16-64 años;Españoles;Mujeres;2021;45.232
34 Palencia;16-64 años;Españoles;Mujeres;2020;45.775
34 Palencia;16-64 años;Españoles;Mujeres;2019;46.324
34 Palencia;16-64 años;Extranjeros;Hombres;2021;2.798
34 Palencia;16-64 años;Extranjeros;Hombres;2020;2.742
34 Palencia;16-64 años;Extranjeros;Hombres;2019;2.497
34 Palencia;16-64 años;Extranjeros;Mujeres;2021;3.008
34 Palencia;16-64 años;Extranjeros;Mujeres;2020;2.947
34 Palencia;16-64 años;Extranjeros;Mujeres;2019;2.736
34 Palencia;65 y más;Españoles;Hombres;2021;18.547
34 Palencia;65 y más;Españoles;Hombres;2020;18.328
34 Palencia;65 y más;Españoles;Hombres;2019;18.001
34 Palencia;65 y más;Españoles;Mujeres;2021;22.750
34 Palencia;65 y más;Españoles;Mujeres;2020;22.747
34 Palencia;65 y más;Españoles;Mujeres;2019;22.635
34 Palencia;65 y más;Extranjeros;Hombres;2021;110
34 Palencia;65 y más;Extranjeros;Hombres;2020;105
34 Palencia;65 y más;Extranjeros;Hombres;2019;89
34 Palencia;65 y más;Extranjeros;Mujeres;2021;145
34 Palencia;65 y más;Extranjeros;Mujeres;2020;128
34 Palencia;65 y más;Extranjeros;Mujeres;2019;109
35 Palmas, Las;0-15 años;Españoles;Hombres;2021;70.933
35 Palmas, Las;0-15 años;Españoles;Hombres;2020;73.519
35 Palmas, Las;0-15 años;Españoles;Hombres;2019;75.372
35 Palmas, Las;0-15 años;Españoles;Mujeres;2021;67.356
35 Palmas, Las;0-15 años;Españoles;Mujeres;2020;69.908
